,descriptions
545,VIOL CIVIL RIGHTS:CAUSE VIOLENT INJ/ETC
546,DEPENDENT ADULT NEGLECT/ABUSE
547,PROBATION REVOCATION/MODIFICATION/ETC
548,SODOMY W/PERSON < 16 YRS BY PRSN > 21 YRS
549,PLACEMENT RUNAWAY
550,ASLT:MAYHEM/RAPE/ETC
551,POSS OF MORE THAN 28.5 GRAMS OF MARIJUANA
552,NONSUFFICIENT FUNDS CHK NOT >$950 SP/CONV
553,RECKLESS CAUSE FIRE:INHABIT STRUCTUR/PROP
554,HUMAN TRAFFICKING
555,SPOUSAL RAPE
556,DISCHARGE WPN - CTY
557,DAMAGING/REMOVING FENCES/GATES/SIGNS
558,ACQUIRE ACCESS CARD W/INTENT TO USE/SELL
559,REPAIR VEHICLE ON STREET
560,ADW ON PO/FIREMAN W/SEMIAUTOMATIC
561,FALSE REPORT OF BOMB TO PUBLIC AGENCY/BUS
562,"ATTEMPT SPOUSAL RAPE,FORCE/VIOL/FEAR/ETC"
563,ROBBERY:FIRST DEGREE
564,EMBEZZLEMENT OF PROPERTY BY EMPLOYEE
565,BATTERY OF NON-INMATE BY JAIL INMATE
566,LOITER ABOUT TOILET TO SOLICIT LEWD ACTS
567,PERMIT BEGGING/SOLICITING OF ALCOHOL
568,TORTURE/KILL LIVING ANIMAL
569,FAIL DISCLOSE ORIGIN OF RECORDG/1000+ART
570,MISUSE TRANSF/PASS ON PUBLC TRANSP SYSTM
571,BEG/SOLICIT PURCHASE OF LIQUOR
572,POSS ID OR 10 OR MORE PRSN W/INTENT DEFRAU
573,ANIMAL ENDANGERMENT W/INJURY
574,PETTY THEFT UNDER $50.00
575,ATTEMPT ADW NO FIREARMS/GBI
576,DRIVE SUSPENDED FOR RECKLESS DRIVING W/PR
577,ASK/TAKE BRIBE FR VIOLATR BY PO
578,"VANDALISM LOSS VALUE: > $5000/<$50,000"
579,VEHICULAR MANSLAUGHTER W/GROSS NEGLIGENCE
580,ORAL COPULATION 14 & OVER BY FORCE/INJ
581,ASSAULT ON CHILD CAUSING DEATH
582,HUMAN TRAFFICKING - SEX/ETC
583,MFG/SELL/GIVE/LEND POSSES BALLISTIC KNIFE
584,ALTER/DEFACE VIN TO SELL OR TRANSFER
585,ENHANCEMENT - VANDALISM W/PRIOR
586,GRAND THEFT DOG W/$400 OR MORE VALUE
587,ATTEMPT ADW ON PO/FIREMAN W/O/FIREARM/GBI
588,FAIL DISCLOSE ORIGIN OR RECORDING
589,SODOMY OF VICTIM BELIEVE PERSON IS SPOUSE
590,POSSESS A KNIFE/FIREARM ETC: IN AIRPORT
591,OBSCENE IMAGES: MINOR SEX ACT
592,IMPROPER USE OF LICENSE PLATE
593,PARTICIPATE IN KNOWN STREET GANG
594,DEFRAUD INNKEEPER BY NON-PAYMENT > $400
595,290 VIOL POST INCARC
596,PRIVATE PATROL OPERATOR W/O A LICENSE
597,PEEK THRU HOLE IN BATHRM/DRESSING ROOM
598,ACQUIRE ACCESS CARD W/INTENT TO DEFRAUD
599,FELONY PROSTITUTION
600,ATTEMPT REMOVE/TAKE FIREARM FROM P.O.
601,FRAUDULENT COMPUTER ACCESS
602,LITTERING IN PARK
603,CONTEMPT OF COURT - RESISTING COURT ORDER
604,UNAUTH STAY/RET:SCH ZONE
605,VIOL CRT ORD PREV DOMESTC VIOL RESULT INJ
606,CONVERT REAL PROPERTY < $100
607,PRESENT FALSE/FRAUDULENT INSURANCE CLAIM
608,AIM/ETC LASER POINTER
609,AVOID REGISTRATION COMPLIANCE
610,INTERFR W/FIREMAN/EMERGENCY RESCUE PERSNL
611,EXCEEDING WRITTEN ESTIMATES
612,POSSESS/PROV FALSE BIRTH/BAPTISMAL CERT
613,VIO PROT ORD:DOMSTIC W/PR
614,UNLAWFULLY REMAIN AFTER WARNING DISPERSE
615,SEXUAL BATT FORCING VICTIM TO MASTURBATE
616,SELL/OFFER FOR SALE/MFG MACHINEGUN
617,REMOVE PART OF REALTY
618,INTENTIONAL VIOL OF PROTCTVE ORDER
619,ATTEMPT - RAPE BY FORCE/FEAR
620,DEPOSITING NON-COMBUSTIBLE RUBBISH
621,CORPORAL INJURY ON CHILD
622,ATTEMPT UNAUTHORIZED ENTRY OF PROPERTY
623,UNAUTH USE/POSS/ETC OF FOOD STAMPS > $400
624,RESISTING OFFICER
625,USE/UNDR INFLU OF SPECIF CONTR SUBST
626,ATTEMPT PETTY THEFT
627,WITNESS FAILING TO APPEAR
628,"FORGERY CHECK/BOND, ETC. NOT > $950"
629,LITTERBUG/DEPOSIT TRASH ON HIGHWAY
630,DRIVING WITH KNOWLEDGE OF SUSPENDED LIC
631,ATT -PETTY THEFT MERCHANDISE/LIBRARY BOOK
632,PREVENT/DISSUADE WITNESS/VICTIM FROM REPO
633,EVADING A PEACE OFFICER W/DEATH/GBI
634,ASSAULT TO COMMIT RAPE
635,ATTEMPTED PANDERING BY ENCOURAGING
636,L & L ACT W/ DEPENDENT ADULT BY CARETAKER
637,MFG/SELL COUNTERFEIT MARK
638,SPEED CONTEST - BLOCK HIGHWAY
639,BRING/SEND/POSS DEADLY WEAPON IN JAIL
640,SODOMY VICTIM UNCONSCIOUS OF ACT
641,LOITERING (GENERALLY)
642,FAILURE TO REGISTER AS SEX OFFENDER
643,TRESPASS W/INTENT TO INTERFERE/INJ PROP
644,BRANDISH F/ARM REPLICA AT OCCUPANT OF VEH
645,"SPEC ALLEGATION ATTEMPT KIDNAP, VICT < 14"
646,SEXUAL BATTERY
647,PANDERING
648,ATTEMPT WELFARE FRAUD
649,DUI OF ALCOHOL & DRUG CAUSING INJURY
650,GIVE FALSE INFO TO PEACE OFFICER
651,ATTEMPT PERJURY UNDER OATH
652,TRAN FAIL REG RLS CUSTODY(MRLS)
653,CARRY LOADED FIREAR W/PRIOR FELONY
654,VIO PROT ORDER:DOMES:W/PR
655,SODOMY
656,DUI ALCOHOL/0.08 W/PRS
657,ANNOY/MOLEST PERSON IN PED SUBWAY
658,HARMFUL MATTER SENT: SEDUCTION OF MINOR
659,EMBEZZLEMT OF PROP PROCEED BY DEBTOR>$400
660,FAILURE TO NOTIFY DOJ OF FIREARM SALE
661,TRAN FAIL REG RLS CUSTODY
662,UNAUTHORIZED POSSESSION OF SYRINGE/NEEDLE
663,ATTEMPT AID IN ATTEMPT TO BURN STRUCTURE
664,ATTEMPTED ROBBERY
665,ATTEMPTED MURDER
666,CONSP:COMMIT ACT INJ TO PUB/OBSTR JUSTICE
667,SELL/FURNISH/DISTRIBUTE ETC NITROUS OXIDE
668,RECKLESS CAUSE FIRE:STRUCTURE/FOREST LAND
669,PROHIBITED PERSON OWN/ETC AMMUNITION/ETC
670,FORGE/MAKE/USE OF ACCESS CARD TO DEFRAUD
671,CRUELTY
672,"FORGERY CHECK/BOND, ETC. NOT >$950 SP/CONV"
673,ORAL COPULATION IN CONCERT W/FORCE/ETC
674,PERSONALY DISCHRGE F/ARM AT OTHR FROM VEH
675,ENTER LAND UNDER CULTIVATN W/O PERMISSION
676,FAILURE TO DISPLAY LIQUOR LICENSE
677,EMBEZZLEMENT
678,POSSESS/CONTROL SLOT MACHINE/ETC
679,TRESPAS:RES/ETC:SBI THRET
680,THROW LIGHTED SUBSTANCE FROM VEH ON HWY
681,ESCAPE JAIL/ETC WHILE CHARGED WITH FELONY
682,RETAKE LAND AFTER LEGAL REMOVAL
683,MAINTAIN/OCCUPY BOOKMAKING PLACE
684,POSSESSION OF NARC CONTROLLED SUBSTANCE
685,POSS OF MACHINERY MAKE FALSE ACCESS CARD
686,UNLAWFUL MAIL THEFT
687,OWN/POSSESS/PURCHASE ANY F/ARM DEAD/WEAPON
688,CHILD STEALING
689,REMOV/INJ PHON/TELEGRPH/CABLE TV POWR LIN
690,CONSUME/PURCHASE ALCOHOLIC BEV BY MINOR
691,EXTORTION BY THREATENING LETTER
692,DRINK ALCOHOLIC BEVERAGE IN VEH ON HWY
693,ATTEMPT -ASSAULT W/INT TO COMMIT SPEC FEL
694,TRESPASS W/O EXPRESS CONSENT
695,FAIL TO REGISTER AS SEX OFFENDER
696,PEDESTRIAN ENTER HWY-WAIT/DON'T WAIT
697,DOG TAGS REQUIRED
698,LOITER IN TUNNEL/PED SUBWAY/OVERPAS
699,USE WORK ANIMAL W/CRUELTY/ABUSE
700,PROV FALSE/ETC INSURANCE INFO FOR PAY/ETC
701,INTERFERE W/POLICE RADIO COMMUNICATIONS
702,FAIL TO OBEY PEACE OFFICER
703,PREVENT/DISSUADE WIT/VICT FROM RPTG CRIME
704,LEND DISABLED PERSONS PLACARD
705,USE EXPIRE/FORGE/REVOKE ACCESS CARD >$400
706,PASADENA MUNICIPAL CODE
707,MAKE FALSE FINANCIAL STATEMENT
708,ACCESS COMPUTER AND MAKE COPIES
709,DRIVE SUS/REV DUI W/IN 5 YRS PRIOR OFFNS
710,TORTURE/MAIME/ETC MAMMAL/BIRD/FISH/ETC
711,SPOUSAL RAPE - VICTIM UNCONSCIOUS
712,DISTRIBUTE HARMFUL MATTER TO MINOR ON INT
713,ELDER/DEPENDENT ADULT THEFT: BY CARETAKER
714,POSS MARIJUANA OR CONCENTRATED CANNABIS
715,UNLAWFUL SEX W/MINOR UNDER 18
716,ACCEPTING A WAGER - HOLD BETS/WAGERS
717,CONSPIRACT SELL CONTROLLED SUBST
718,ANNOYING REPEATED PHONE CALLS RESIDENCE
719,TRANSPORT ALCOHOLIC BEVERAGE BY MINOR
720,KIDNAPPING FOR PURPOSE OF CARJACKING
721,ATTEMPT - TAKE VEHICLE W/O CONSENT
722,BODY HARM/DEATH ON ELDER/DEPENDENT ADULT45
723,ENGAGING IN BOOKMAKING/POOL SELLING
724,LEWD/ACTS W/CHILD BY PRSON W/10 YR DIFRNC
725,ATTEMPT GRAND THEFT PERSON
726,BENCH WARRANT ISSUED
727,EMBEZZLE OF PROP BY PUBLIC/P.O. >$400
728,FAIL OBEY ORDER OF JUVENILE COURT
729,SODOMY: PERSON UNDER 14/DEFNDNT 10 YR OLDR
730,KIDNAP CHILD UNDER 14YRS FOR CHILD MOLEST
731,POSS OF TOOLS W/INT COMMIT VANDAL/GRAFF
732,NON-STUDENT/EMPLOYEE REFUSE LEAVE CAMPUS
733,LEWD/LASCIV ACT W/CHILD<14YR W/FORCE/VIOL
734,UNATHORIZED USE OF PERSONAL ID INFO
735,THEFT OF ELDER/DEPENDENT ADULT OVER $400
736,POSS/POSS FOR SALE SPECIFIED CNTL SUBS
737,ORAL COPULATION W/PERSON UNDER 14 YEARS
738,OBT WORKER COMPENSATION INS AT LOWER RATE
739,TRESPASS RAILROAD PROPERTY
740,ATTEMPT/AID TO BURN STRUCTURE/FOREST/PROP
741,REFUSE TO LEAVE POSTED LAND
742,TRANSPORT SPORES/ETC TO PROD SPEC C/SUB
743,INGLEWOOD MUNICIPAL CODE
744,EVASION OF FARE
745,PRESCRIPTION VIOLATIONS/INDUCE MINOR
746,POSS FIREARM W/PRIOR SPEC MISD CONVICTION
747,THEFT OF UTILITY SERVICES
748,FALSE IMPRISMNT OF ELDER/DEPENDT ADULT
749,UNAUTHORIZED ENTRY NON-COMMERCIAL DWELLG
750,LACK OF SUPERVISION
751,MATERIAL WITNESS
752,CRIMNL STORAGE F/ARM ACCESS CHILD 1ST DEG
753,ISSUE ILLEGAL CONTROLLED SUBSTANCE PRESC
754,DEFACE/DAMAGE PERSONAL PROPERTY
755,POSS EQUIP/ETC:MFG C/SUBS
756,CUDAHY MUNICIPAL CODE
757,ATTEMPT - LYNCHING - DEFINED
758,"FORGER EXCEED $950 NOT CHECK/BOND, ETC"
759,TAKING OF HOSTAGES
760,SODOMY W/VICTIM INCAPABLE OF CONSENT
761,THROW OBJECT AT COMMON CARRIER VEHICLE
762,FALSE EVIDENCE OF REGISTRATION
763,ANNOYING/ETC CALLS TO 911
764,RECEIVE/ETC KNOWN STOLEN PROPERTY
765,BENCH WARR/FAIL TO APPEAR ON FEL CHARGE
766,PETTY THEFT: RETAIL MERCHANDISE/LIBR BOOK
767,MAKE/ISSUE/CIRCULATE UNAUTH PAPER MONEY
768,ARSON CAUSING GBI
769,SEX PEN:THREAT RETALIATION
770,ILL POSS NON-GOV'T ISS ID CARD/DRIVER LIC
771,TRANSP/SELL NARC CNTL SUB BETWEEN COUNTY
772,FAILURE TO UPDATE REGISTRATION
773,EMBEZZLE OF PROPERTY BY CARRIER >$400
774,ASSAULT ON PEACE OFFICER/FIREFIGHTERS/ETC
775,FALSE PERSONATION:GET MONEY/PROPERTY>$400
776,FUGITIVE FROM JUSTICE
777,TRESPASS W/PRIOR NOTICE W/I 6 MOS.
778,VIOL CIVIL RIGHTS BY FORCE/THREAT OF FRCE
779,ORAL COP:VIC UNCONSCIOUS OF NATURE OF ACT
780,ATTEMPT TO INFLICT BODILY INJURY
781,HAWTHORNE MUNICIPAL CODE
782,ASSAULT ON CUSTODIAL OFFICER
783,INVAD PRIV:ELEC TRACK DEV
784,ENGAGE IN LOUD/BOISTEROUS/UNRULY BEHAVIOR
785,FAIL TO UPDATE REGISTRATION
786,USE FALSE DOCU TO CONCEAL TRUE CITIZENSHP
787,TRANS SELL NARC CONTROLLED SUBSTANCE
788,COMPTON MUNICIPAL CODE
789,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**
790,POSSESS/SELL SWITCHBLADE KNIFE
791,FALSE PROOF:FINANCE RESP
792,VIDEO/PHOTOGRAPH PERSON INSIDE ROOM
793,ORAL COPULATION W/PERSON UNDER 18 YRS
794,L & L ACTS WITH CHILD < 14 W/ FORCE/ETC
795,OBTAIN CNTL SUBS/CONT SUBS PRESC BY FRAUD
796,POSSESSION/CONT SUBSTANCE PARAPHERNALIA
797,CUTTING DOWN/DESTROY/INJ STANDING TIMBR
798,ALLOW MINOR NEAR DRUG PARAPHERNALIA
799,ATTEMPT KIDNAP IN COMMISSION OF CARJACK
800,SELL/PURCHASE ALCOHOL AFTER HOURS
801,POSSESS MATERIAL/DEVICES FOR SETTING FIRE
802,FAIL TO KEEP PROPER BUSINESS RECORDS
803,ATTEMPT - EXTORTION - DEFINED
804,WILLFUL POISONING/ETC OF FOOD/ETC
805,GRAND THEFT $/LABOR FROM EMPLOYER > $400
806,PRESENT LICENSE ISSUED TO ANOTHER
807,FALSE PERSONATION:SP CIRC
808,SEX OFFENDER UNLAWFULLY ON SCHOOL GROUNDS
809,SELL COMMON CARRIER TICKET PERS N/ENTITLE
810,VIOLATION OF CUSTODY DECREE
811,POSS/ETC DEADLY WEAPON IN PUBLIC BLDG/ETC
812,FILE FALSE DOCU FOR TITLE/ETC ON REAL EST
813,MINOR IN POSS OF ALCOHOL BEVERAGE IN VEH
814,FORCIBLE ENTRY AND DETAINER
815,TRANSP/SELL PHENCYCLIDINE/DESIGNATD C/SUB
816,CULTIVATE >6 MARIJ PLANTS VIOL ENVRNT LAW
817,ORAL COPULATION W/PERSON UNDER 18 YEARS
818,ORAL COPULATN PERSN<14:SUSPECT 10YR OLDER
819,ATTEMPT - MAYHEM
820,USE/POSSESS EXPLOSIVE/DESTRUCTIVE DEVICE
821,FALSE STATEMENTS REGARDING AID
822,LA MIRADA MUNICIPAL CODE
823,ILLEGAL KEEPING OF WILD ANIMAL
824,RAPE SPOUSE W FORCE/FEAR/THREAT
825,POSS DESTRUCT DEVICE NEAR CERTAIN PLACES
826,OPERATE AUTOMOTIVE REPAIR W/O LICENSE
827,ASSAULT BY PEACE OFFICER
828,UNLAWFUL POSSESSION OF CREATURE
829,CAUSE ELDER/DEPENDENT ADULT:HARM/DEATH
830,ATTEMPT SODOMY WHILE CONFINED IN PRISON
831,POSSESSION DEADLY WEAPON BY PRISONER
832,PETTY THEFT:$50-
833,SHOPLIFING AFTER A SPECIFIED PRIOR CONV
834,RAPE IN CONCERT W/FORCE/VIOLENCE
835,LA PUENTE MUNICIPAL CODE
836,MFG/SELL/POSSESS GAMING DEVICE
837,SMOKE/EAT/DRINK/ETC ON PUBLIC TRANSP SYS
838,POMONA MUNICIPAL CODE
839,CONSPIRACY TO DEFRAUD/CHEAT
840,TOSS/ETC MATTER:HWY/ETC
841,ATTEMPT - POSS CONTROLLED SUBSTANCE
842,NOISE ORDINANCE
843,FAILURE TO FILE CHANGE OF ADDRESS
844,SELL HYPODERMICS W/O PRESCRIPTION
845,EVASION OF FARE W/PRIORS
846,"FTA AFTER POST BAIL, FINE"
847,PERSON PREVIOUSLY CONVICTED OF A FELONY
848,FALSELY OBTAIN/POSSESS DMV/DOCUMENTS
849,PERMIT GAMBLING IN HOUSE
850,AGGRAVATED SEXUAL ASSLT/CHILD-PC261(A)(2)
851,SEX REG FAIL RPT ADD CHG
852,PANDERING BY ENCOURAGING
853,SELL/FURNISH/ETC MARIJ/HASH OVER 1 OZ
854,ATTEMPT - EXTORTION
855,SEND/GIVE/TRANSMIT/ETC FALSE FIRE ALARM
856,FURNISH TOLUENE TO PERSON UNDER 18 YRS
857,ACQURE ACCESS CARD ACCOUNT NUMBER
858,POSSESSION OF NITROUS OXIDE
859,ADMINISTER/ETC CNTL SUBS TO ADDICT
860,"DRUNK, ALCOHOL"
861,ASSAULT ELDER ADULT
862,MINOR INDUCE MINOR VIOL C/SUBS PROVISIONS
863,FEL/ETC REC/ETC F/ARM/AMO
864,CONSPIRACY
865,RAPE -VICTIM BELIEVES PERSON TO BE SPOUSE
866,NOISE ORD - OTHER MACHINERY
867,THROW SUBSTANCE AT VEHICLE
868,FRAUDULENTLY DISPLAY ID CARD
869,RECKLESSLY CAUSE FIRE OF PROPERTY
870,ALLOW VICIOUS ANIMAL AT LARGE
871,VIOL SPECIFIC F/ARM SALES/LEASE/ETC REG
872,MINOR ENTER/REMAIN ON LIQUOR PREMISES
873,POSS CONTROLLED SUBSTANCE PARAPHENALIA
874,IDENTITY THEFT
875,ORAL COP IN CONCERT BY THREAT/FORCE < 14
876,MINOR POSSESS/USE FALSE EVIDENCE OF AGE
877,ALLOW UNLICENSED DRIVER 2 DRIVE ONE'S VEH
878,MFG/SELL/GIVE/LEND POSSESS ANY ZIP GUN
879,PENETRATION BY ANESTHESIA/CNTL SUBS/INTOX
880,TRAN FAIL 30 DAY UPDATE (MTRA)
881,BYPASS METER TO STEAL GAS
882,ESCAPE/ATTEMPT ESCAPE FROM CUSTODY
883,UNLAWFUL PARKING PRIVATE PROPERTY
884,FAIL TO PROVIDE PROOF OF RESIDENCE
885,EXECUTE SCHEME OBTAIN MONEY/PROP MEDI-CAL
886,BATTERY BY PRISONER
887,ATTEMPT TO PREV WIT/VICTIM GIVE TESTIMONY
888,VANDALISM OF PLACE OF WORSHIP
889,MATERIAL WITNESS/WRITTEN AGREEMENT
890,BEVERLY HILLS MUNICIPAL CODE
891,SELL/GIVE/TRANSFER FORGED COUPONS
892,ACQUIRE ACCESS CARD IN 4+NAMES >12 MOS
893,ROBBERY OF THE FIRST DEGREE
894,ATT ORAL COP BY USE OF FORCE/INJURY
895,UNLAWFUL POSSESSION OF FIREARM W/PR JUV
896,VIOLENCE USED AGAINST FORER SPOUSE
897,ASSAULT ON SCHOOL EMPLOYEE
898,FAIL TO UPDATE REGISTRATION W/PRIOR
899,FAIL DISCLOSE ORIGIN OF RECORDING
900,MINOR IN POSSESSION OF LIVE AMMUNITION
901,PERMIT ANOTHER DISCHARGE F/ARM FROM A VEH
902,WEAPONS RESTRICTN VIOL:MENTL DISORD PERS
903,TRESPASSING ON RAILROAD TRAIN
904,EMBEZZLEMENT OF CONSTRUCTION FUNDS
905,TAMPER WITH VEHICLE
906,SODOMY PERSON< 14 BY PRSN W/10YR AGE DIFF
907,VEHICLE STOP AT LIMIT LINE
908,BUSINESS REGS
909,TAMPER W/UTILITY PROPERTY
910,FAILURE TO PAY FINE/WARRANT
911,OBTAIN/ETC AID BY FALSE STMENT/ETC < $400
912,TRANSMIT KIDNAP THREAT: INTERSTATE
913,OBSTRUCT/RESIST PUBLIC OFFICER
914,DRIVER/OWNER PERMIT UNLOADED F/ARM IN VEH
915,FALSE REPORT OF CRIME
916,TRAN FAIL 30 DAY UPDATE
917,POSSESS SPECFIC CNTL SUBSTANCE FOR SALE
918,WRITING GRAFFITI ON FREEWAY
919,BIGAMY
920,OBTAIN OVER $400 BY FRAUD/TRICK
921,GRAND THEFT OF COPPER
922,WEST HOLLYWOOD MUNICIPAL CODE
923,ARSON
924,CONVEY/SELL PERSONAL ID INFO W/INTENT DEFR
925,TOW TRUCK OWNR MOVE VEH FR PUB RD NO AUTH
926,ENGAGE IN BUSINESS WITHOUT A LICENSE
927,ATTEMPT RECEIVING STOLEN PROPERTY<$400
928,ATTEMPT GRAND THEFT FIREARM/ETC
929,ORG RETAIL THEFT INT/SELL
930,POSS FIREARM BY CONVICTD FELON/ADDICT/ETC
931,USE DESTRUCTIVE DEVICE CAUSING MAYHEM/GBI
932,POSSESS FIREARM NEAR SCHOOL
933,STATE PRISON ESCAPEE
934,UNAU WRITINGS:PROD/BOX
935,SPEEDING
936,ATTEMPT - PETTY THEFT
937,IMPROPR STOP AT STOP SIGN/RR CROSSING/ETC
938,DRIVE/TAKE LAW ENF/FIRE VEH W/O CONSENT
939,PAY/OFFER TO PAY PARENT FOR ADOPT CHILD
940,ASSAULT DEPENDENT ADULT
941,ATTEMPT COMMERCIAL BURGLARY
942,ERECT/USE TENT/SHELTER ON BEACH
943,DESERTION
944,PEDESTRIAN YIELD RIGHT OF WAY TO TRAFFIC
945,MAINTAIN/COMMIT PUBLIC NUISANCE
946,FORECLOSURE FRAUD
947,SEX WITH MINOR W/3 YR AGE DIFFERENCE
948,TRESPASSING ON OYSTER LANDS OF ANOTHER
949,"PENETRATN W/FORGN OBJ,VICT INCAP CONSENT"
950,JUVENILE RUNAWAY COURTESY FOR OTHER AGY
951,ATTEMPT TO REMOVE FIREARM FROM PO
952,COMMIT ORAL COPULATION W/FORCE/VIOL/ETC
953,KEEP/LIVE IN HOUSE OF ILL FAME
954,FALSE RPT OF EMERGENCY RESULT INJURY/GBI
955,CONSPIRACY TO PREVENT/DISSUADE WIT/VICTIM
956,EXHIBIT FIREARM/DEAD WEAPN RESIST ARREST
957,PROHIBITED BURNING
958,EXPECTORAT ON PUBLC TRANSP SYSTEM FAC/VEH
959,ATTEMPT - KIDNAPPING FOR CHILD MOLESTING
960,BLOCKING FREE MOVEMENT
961,PRVNT/DISSUADE WIT/VICT BY FORCE
962,MAKE/ETC EQUIP:FAKE CARD
963,THRET FORCE/ETC:WIT/VICT
964,RESISTING ARREST CAUSING INJURY TO PO
965,POSS SPECIF CONT SUBS PARAPHERNALIA
966,MURDER
967,PARAMOUNT MUNICIPAL CODE
968,BURBANK MUNICIPAL CODE
969,POSS/SELL/MFG DANGEROUS WEAPON
970,CARY LOAD F/ARM:PUB:S/CIR
971,UNITED STATES CODES
972,OBTAIN MONEY BY FRAUD/TRICK
973,FAIL TO PRESENT ID
974,ILLEGAL STREET/SIDEWALK SALES
975,MINOR POSSESSING SPRAY PAINT
976,TRESP SCH GRNDS
977,ALCOHOLIC BEV LIC PERMIT ALCHL CONSMPTN
978,GIVE FALSE DATA:F/ARM REG
979,DISTURBING THE PEACE
980,CCW IN VEH W/PR FEL CONV
981,ESCAPE/ATTEMPT ESCAPE FR PO CAUSE INJURY
982,CARRYING LOADED FIREARM
983,CARRY CONCEALED DIRK OR DAGGER
984,MFG/SELL/POSS DANGEROUS WEAPON/ETC
985,INVOLUNTARY MANSLAUGHTER
986,GANG MEMB:CLF/ARM:PUB/ETC
987,DEPRIVE CUSTODY/VISIT IN VIOL OF CRT ORD
988,CARRY LOAD F/ARM:PR FEL
989,"HIT AND RUN, DEATH/INJURY"
990,MINOR IN POSS CONCEALABLE FIREARM W/PRIOR
991,CULVER CITY MUNICIPAL CODE
992,HIT AND RUN
993,REMOVE CART FROM PREMISES
994,GRAND THEFT AUTO
995,MANHATTAN BEACH MUNICIPAL CODE
996,OFFENSIVE LANGUAGE IN PUBLIC
997,ASSAULT/BATTERY ON SCHOOL PROPERTY
998,DRIVING WITH SUSPENDED LICENSE
999,DISPLAY ANOTHER'S ID CARD
1000,UNLAWFUL DISPLAY OF DRIVER'S LICENSE
1001,POSSESS DANGEROUS FIREWORKS W/O PERMIT
1002,UNLIC NONRES DIST NDL/ETC
1003,POSS/COMPLEED CHECK W/INTENT COMIT FORGY
1004,IMPERSONATING A PEACE OFFICER
1005,DEALING IN SECONDHAND GOODS W/O LICENSE
1006,OPER TAXI W/O FRANCHISE
1007,SELL/USE/ETC UNCLASSIFIED/UNREG FIREWORKS
1008,CARRY CONCEALED WEAPON ON PERSON/VEH
1009,ILLEGAL RESALE OF TICKETS
1010,SOLICIT SIDEWALK
1011,UNLAWFUL CATERING TRUCK SALES
1012,UNAUTH POSS/USE DAIRY EQUIP VALUED < $400
1013,EXHIBIT/DRAW DEADLY WEAPON/FIREARM
1014,CONDUCT DANCE W/O PERMIT
1015,OFFER OF SUBSTITUTE ALCOHOLIC BEV BRAND
1016,FAIL TO CARRY VALID BATON PERMIT
1017,ILLEGAL SALE OF FIREWORKS
1018,UNLAWFUL PARKING PEDDLERS/VENDORS
1019,DUMP/ETC GARBAGE/REFUSE:PUBL STREET/PROP
1020,UNLAWFUL POSSESSION OF FIREWORKS
1021,ENTER WITHOUT PAYING ADMISSION
1022,SCALPING
1023,SOLICTIT BUS SDWK
1024,CRIMES AGAINST CHILDREN/LEWD/LASCIVIOUS
1025,UNAUTH USE OF PRIV PATROL SECURITY BADGE
1026,FAIL TO DISPLAY FOOD FACILITY PERMIT
1027,UNLAWFUL BIKE RIDING ON WALKWAY
1028,FAIL TO MAINTAIN MOTEL REGISTER
1029,GRAFFITI PRIV PROP/DAMAGE UNDER $250
1030,LOITERING NEAR POSTED PROPERTY
1031,ILLEGAL GAMBLING
1032,URINATING IN PUBLIC
1033,SELL/FURNISH SPRAY PAINT TO MINOR
1034,DUMP OFFENSIVE MATTER
1035,MINOR PURCHASE SPRAY PAINT
1036,MINOR POSS 28.5+ GRAMS MARIJUANA/SCHOOL
1037,MASSAGE TECHNICIAN W/O PERMIT
1038,SOLICIT BUS SDWK
1039,POSSESS OF MARIJUANA WHILE DRIVING VEH
1040,PARKING LOT W/O PERMIT
1041,MISC OFFENSE
1042,POSSESS ANY ALCOHOLIC BEV LIST IN BP2535
1043,NO DRINKING SIGN REQ OFF-SALE PREM
1044,ALCHL BEV LIC PERMIT MINOR CONSUME ALCOHL
1045,PAINT RETAILR FAIL POST VANDL PUNISH SIG
1046,ASSAULT WITH DEADLY WEAPON PERSON
1047,AMPLIFIED SOUND REGULATIONS
1048,TAMPERING WITH RECYCLING OR REFUSE
1049,HIRE PERSON TO PROCURE LIQUOR SALES
1050,HIRE TO PROCURE LIQUOR SALE
1051,DISTR/EXHIBIT/ETC HARMFUL MATTER TO MINR
1052,REFUSE TO DISPERSE
1053,LISTEN POLICE/FIRE RADIO IN VEH
1054,FIREWORKS REGULATION
1055,PEDDLING AFTER HOURS
1056,POSS/ETC OBSCENE MATT:CHILD UNDER 14
1057,SELL IMPROPERLY PACKAGED CIGARETTES
1058,LITTER/DUMP WASTE IN WATER/ON SHORE
1059,FURN PROHIB WEAPON TO JUVENILE
1060,DUMP WASTE MATTER
1061,COIN OP MUSIC MACHINE W/O LIC
1062,ALLOW OPEN CONTAINER IN PASSENGER AREA
1063,OBSTRUCTION OF STREET SIGNS
1064,UNLAWFUL PARKING FOR PEDDLING/SALES
1065,DUMPING INTO PUBLIC SEWER SANITARY FAC
1066,THROW FLAMING SUBSTANCE FROM VEHICLE
1067,ADULTERATE/SELL ADULTERATD FOOD/DRUGS/ETC
1068,UNLICENSED DOG
1069,OPR BIKE:RD/ETC:WRONG WAY
1070,LOOKOUT WARNING OF POLICE
